id,name,is_enabled,weight
1,Некоректні контакти ( Не ЦА ),1,9
2,Не влаштовують умови навчання,0,40
3,Пішов до конкурентів,0,41
4,Не сподобалось пробне,0,42
5,Дорого,0,38
6,"Недовіра, сумніви ( В )",1,28
7,Вже знайшли репетитора,0,44
8,Не актуально ( Не ЦА ),1,8
9,Хочуть офлайн ( Не ЦА),1,4
10,Не відповідає ( Не Ца ),1,10
11,Пауза,0,35
12,Подумає (мороз)  ( В ),1,27
13,Часта заміна викладачів,0,36
14,Некваліфікований викладач ( В ),1,26
15,Не сподобався викладач  ( В ),1,29
16,Інша причина,0,37
17,Дубль,1,32
18,Тестовий лід,1,33
19,Тільки для вторічної воронкиПовторно в архів,1,25
20,Не цільовий ( Стара  людина  ),0,43
21,Не цільовий ( Рівень мови С1 ),0,39
22,Не сподобався пробний  ( В ),1,20
23,вже знайшли репетитора  ( В ),1,18
24,Дорого  ( саме наші ціни )  ( В ),1,16
25,Дорого ( У людини не має можливості стільки платити )   ( В ),1,17
26,Хоче займатись на інтерактівній платформі ( В ),1,19
27,Дуже великий рівень ( Не ЦА ),1,3
28,Похилий вік людини ( Не ЦА ),1,7
29,Не розуміє як сплачувати ( В ),1,15
30,Не влаштовує що є розмовний клуб хоче тільки інд уроки  ( В ),1,21
31,Не влаштував менеджер  ( В ),1,22
32,Хоче купити пакет уроків якого немає в прайсі  ( В ),1,24
33,Особисті обставини ( В ),1,23
34,Зможе почати через місяць,1,30
35,Шукає безкоштовні курси ( Не ЦА ),1,6
36,Не залишав заявку ( Не ЦА ) ),1,5
37,Для архівних лідов ( стажерам ),1,31
38,Хоче вивчати іншу мову  ( не ЦА ),1,2
39,Після пробного не виходить на зв'язок ( В ),1,14
40,Рашкін номер,1,34
41,Немає часу на навчання  ( В ),1,11
42,Обрали конкурентів ( В ),1,12
43,Не з'вився на пробний Ігнорує ( В ),1,13
44,Дуже маленька дитина ( НЕ ЦА ),1,1
